title,authors,first_publish_year,edition_count,subject_count,has_cover,is_available_online,genre,cover_id,ol_key,avg_rating,ratings_count,book_age,ratings_count_filled,avg_rating_filled,popularity_score,is_popular
Macbeth,William Shakespeare,1508.0,1866,145,1,1,fiction,872432.0,/works/OL258902W,3.979020979020979,143.0,517.0,143.0,3.979020979020979,19.774083916083917,1
Gulliver's Travels,Jonathan Swift,1726.0,1810,226,1,1,fiction,12717083.0,/works/OL20600W,3.6136363636363638,88.0,299.0,88.0,3.6136363636363638,17.982545454545455,0
The Call of the Wild,Jack London,1903.0,1700,114,1,1,fiction,12393037.0,/works/OL14942956W,3.949367088607595,79.0,122.0,79.0,3.949367088607595,19.271468354430382,1
King Lear,William Shakespeare,1608.0,1614,112,1,1,fiction,7420452.0,/works/OL259026W,4.0,20.0,417.0,20.0,4.0,19.12,1
The Secret Garden,Frances Hodgson Burnett,1911.0,1594,98,1,1,fiction,12622062.0,/works/OL69612W,3.933333333333333,90.0,114.0,90.0,3.933333333333333,19.273333333333333,1
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,1600.0,1594,108,1,1,fiction,14428305.0,/works/OL503666W,3.8947368421052633,57.0,425.0,57.0,3.8947368421052633,18.920947368421054,1
Madame Bovary,Gustave Flaubert,1856.0,1557,85,1,1,fiction,12993424.0,/works/OL893707W,3.730769230769231,52.0,169.0,52.0,3.730769230769231,18.235076923076925,1
The Art of War,"孙武 (Sun Tzu), Stephen F. Kaufman, Lionel Giles, Onésimo Colavidas",1900.0,1542,167,1,1,fiction,4849549.0,/works/OL244537W,4.082278481012659,158.0,125.0,158.0,4.082278481012659,20.277113924050635,1
A Midsummer Night's Dream,William Shakespeare,1600.0,1505,124,1,1,fiction,7205924.0,/works/OL259010W,3.9238095238095236,105.0,425.0,105.0,3.9238095238095236,19.325238095238095,1
Great Expectations,Charles Dickens,1861.0,1489,63,1,1,fiction,13322313.0,/works/OL8721462W,3.76875,160.0,164.0,160.0,3.76875,19.035000000000004,1
A Study in Scarlet,Arthur Conan Doyle,1887.0,1447,38,1,1,fiction,13405534.0,/works/OL262496W,3.982905982905983,117.0,138.0,117.0,3.982905982905983,19.633623931623934,1
The Prince,Niccolò Machiavelli,1515.0,1407,114,1,1,fiction,12726168.0,/works/OL1089297W,3.824074074074074,108.0,510.0,108.0,3.824074074074074,18.944296296296297,1
Through the Looking-Glass,Lewis Carroll,1865.0,1378,79,1,1,fiction,11272464.0,/works/OL151406W,4.052631578947368,57.0,160.0,57.0,4.052631578947368,19.552526315789475,1
The Wind in the Willows,Kenneth Grahame,1908.0,1346,109,1,1,fiction,13335427.0,/works/OL28570037W,4.074074074074074,54.0,117.0,54.0,4.074074074074074,19.6202962962963,1
La Divina Commedia,Dante Alighieri,1472.0,1339,114,1,1,fiction,11621024.0,/works/OL93082W,3.892857142857143,28.0,553.0,28.0,3.892857142857143,18.739428571428572,1
Анна Каренина,Лев Толстой,1876.0,1314,80,1,1,fiction,2560652.0,/works/OL267096W,4.208333333333333,48.0,149.0,48.0,4.208333333333333,20.121333333333332,1
The Hound of the Baskervilles,Arthur Conan Doyle,1900.0,1309,99,1,1,fiction,8063264.0,/works/OL262454W,4.016666666666667,60.0,125.0,60.0,4.016666666666667,19.42666666666667,1
Anne of Green Gables,Lucy Maud Montgomery,1908.0,1299,66,1,1,fiction,14641084.0,/works/OL77746W,4.309278350515464,97.0,117.0,97.0,4.309278350515464,20.81911340206186,1
Persuasion,Jane Austen,1789.0,1236,73,1,1,fiction,12824691.0,/works/OL66544W,4.125,48.0,236.0,48.0,4.125,19.788,1
Julius Caesar,William Shakespeare,1656.0,1226,110,1,1,fiction,7901303.0,/works/OL362702W,3.6140350877192984,57.0,369.0,57.0,3.6140350877192984,17.798140350877194,0
Преступление и наказание,Фёдор Михайлович Достоевский,1866.0,1178,63,1,1,fiction,9411873.0,/works/OL166894W,4.293333333333333,150.0,159.0,150.0,4.293333333333333,21.073333333333334,1
The Great Gatsby,F. Scott Fitzgerald,1920.0,1176,122,1,1,fiction,10590366.0,/works/OL468431W,3.9557522123893807,226.0,105.0,226.0,3.9557522123893807,20.179008849557523,1
Jane Eyre,Charlotte Brontë,1847.0,1170,101,1,1,fiction,8235363.0,/works/OL1095427W,4.040697674418604,172.0,178.0,172.0,4.040697674418604,20.194790697674417,1
The Time Machine,H. G. Wells,1895.0,1146,79,1,1,fiction,9009316.0,/works/OL52267W,4.016129032258065,124.0,130.0,124.0,4.016129032258065,19.80851612903226,1
Walden,Henry David Thoreau,1854.0,1139,75,1,1,fiction,11248037.0,/works/OL55649W,3.909090909090909,33.0,171.0,33.0,3.909090909090909,18.834363636363637,1
Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,1889.0,1134,61,1,1,fiction,8243006.0,/works/OL1793164W,4.0,34.0,136.0,34.0,4.0,19.204,1
The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,1892.0,1132,98,1,1,fiction,6717853.0,/works/OL262421W,4.152941176470589,170.0,133.0,170.0,4.152941176470589,20.631764705882354,1
Moby Dick,Herman Melville,1851.0,1119,103,1,1,fiction,10544254.0,/works/OL102749W,3.978609625668449,187.0,174.0,187.0,3.978609625668449,20.0364385026738,1
Moll Flanders,Daniel Defoe,1722.0,1114,93,1,1,fiction,12997559.0,/works/OL45139W,3.75,4.0,303.0,4.0,3.75,18.024,0
Mansfield Park,Jane Austen,1814.0,1108,74,1,1,fiction,14618737.0,/works/OL66530W,3.8333333333333335,6.0,211.0,6.0,3.8333333333333335,18.369333333333337,1
The Man Who Was Thursday,Gilbert Keith Chesterton,1908.0,1105,40,1,1,fiction,8242857.0,/works/OL76487W,3.4827586206896552,29.0,117.0,29.0,3.4827586206896552,17.105034482758622,0
Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet",1844.0,1104,53,1,1,fiction,11929973.0,/works/OL36861W,4.103448275862069,29.0,181.0,29.0,4.103448275862069,19.587793103448277,1
King Solomon's Mines,H. Rider Haggard,1880.0,1091,62,1,1,fiction,8665393.0,/works/OL17448W,4.214285714285714,28.0,145.0,28.0,4.214285714285714,20.025142857142857,1
The Mysterious Affair at Styles,Agatha Christie,1920.0,1091,35,1,1,fiction,13699667.0,/works/OL472715W,4.034883720930233,86.0,105.0,86.0,4.034883720930233,19.655534883720932,1
Ἰλιάς,Όμηρος,1505.0,1084,135,1,1,fiction,7083790.0,/works/OL61981W,4.055555555555555,90.0,520.0,90.0,4.055555555555555,19.762222222222224,1
Candide,Voltaire,1746.0,1079,121,1,1,fiction,12736044.0,/works/OL100672W,3.988372093023256,86.0,279.0,86.0,3.988372093023256,19.469488372093025,1
Ὀδύσσεια,Όμηρος,1488.0,1063,113,1,1,fiction,9045853.0,/works/OL61982W,4.056603773584905,159.0,537.0,159.0,4.056603773584905,20.180415094339622,1
Hard Times,Charles Dickens,1854.0,1028,55,1,1,fiction,8236916.0,/works/OL8193387W,3.909090909090909,22.0,171.0,22.0,3.909090909090909,18.768363636363638,1
The Legend of Sleepy Hollow,Washington Irving,1820.0,1017,46,1,1,fiction,8243083.0,/works/OL63985W,4.125,24.0,205.0,24.0,4.125,19.644000000000002,1
Northanger Abbey,Jane Austen,1818.0,1013,73,1,1,fiction,12567961.0,/works/OL66534W,3.8636363636363638,44.0,207.0,44.0,3.8636363636363638,18.718545454545456,1
Ethan Frome,Edith Wharton,1910.0,1000,61,1,1,fiction,8303480.0,/works/OL98501W,4.0,42.0,115.0,42.0,4.0,19.252,1
Dubliners,James Joyce,1914.0,996,93,1,1,fiction,8216412.0,/works/OL86320W,3.8780487804878048,82.0,111.0,82.0,3.8780487804878048,19.00419512195122,1
Captains Courageous,Rudyard Kipling,1896.0,990,62,1,1,fiction,12819857.0,/works/OL19842W,4.666666666666667,3.0,129.0,3.0,4.666666666666667,21.68466666666667,1
The Railway Children,Edith Nesbit,1900.0,985,57,1,1,fiction,13241123.0,/works/OL99509W,3.9655172413793105,29.0,125.0,29.0,3.9655172413793105,19.036068965517245,1
Romeo and Juliet,William Shakespeare,1597.0,985,107,1,1,fiction,8257991.0,/works/OL362427W,3.668269230769231,208.0,428.0,208.0,3.668269230769231,18.921076923076924,1
The Moonstone,Wilkie Collins,1800.0,977,75,1,1,fiction,8237041.0,/works/OL176092W,4.090909090909091,22.0,225.0,22.0,4.090909090909091,19.495636363636365,1
Troilus and Cressida,William Shakespeare,1609.0,963,54,1,1,fiction,8789523.0,/works/OL362685W,3.0,4.0,416.0,4.0,3.0,15.024000000000001,0
The Sign of Four,Arthur Conan Doyle,1889.0,962,53,1,1,fiction,9247987.0,/works/OL262438W,4.25,88.0,136.0,88.0,4.25,20.528,1
Metamorphosis,Franz Kafka,1915.0,954,75,1,1,fiction,12820198.0,/works/OL498556W,4.168918918918919,148.0,110.0,148.0,4.168918918918919,20.56367567567568,1
Five Children and It,Edith Nesbit,1905.0,950,49,1,1,fiction,28174.0,/works/OL99499W,4.0,7.0,120.0,7.0,4.0,19.042,1
Antony and Cleopatra,William Shakespeare,1734.0,949,97,1,1,fiction,8222096.0,/works/OL362695W,3.4761904761904763,21.0,291.0,21.0,3.4761904761904763,17.030761904761906,0
Kim,Rudyard Kipling,1901.0,934,53,1,1,fiction,1053011.0,/works/OL19908W,3.7222222222222223,18.0,124.0,18.0,3.7222222222222223,17.99688888888889,0
The Thirty-Nine Steps,John Buchan,1915.0,881,49,1,1,fiction,93020.0,/works/OL76524W,3.8,25.0,110.0,25.0,3.8,18.35,1
The Adventures of Tom Sawyer,Mark Twain,1817.0,879,131,1,1,fiction,12043351.0,/works/OL53919W,3.9673202614379086,153.0,208.0,153.0,3.9673202614379086,19.787281045751637,1
The Last of the Mohicans,James Fenimore Cooper,1826.0,862,64,1,1,fiction,8236937.0,/works/OL77958W,3.6315789473684212,19.0,199.0,19.0,3.6315789473684212,17.640315789473686,0
The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,1583.0,851,25,1,1,fiction,94081.0,/works/OL76341W,4.277777777777778,18.0,442.0,18.0,4.277777777777778,20.21911111111111,1
David Copperfield,Charles Dickens,1800.0,846,94,1,1,fiction,1048892.0,/works/OL8662242W,4.466666666666667,15.0,225.0,15.0,4.466666666666667,20.956666666666667,1
King Richard II,William Shakespeare,1597.0,840,55,1,1,fiction,9069548.0,/works/OL362665W,3.7142857142857144,7.0,428.0,7.0,3.7142857142857144,17.89914285714286,0
Записки изъ подполья,Фёдор Михайлович Достоевский,1864.0,837,39,1,1,fiction,10445973.0,/works/OL21025633W,4.255813953488372,43.0,161.0,43.0,4.255813953488372,20.28125581395349,1
My Ántonia,Willa Cather,1818.0,832,82,1,1,fiction,8369013.0,/works/OL12791W,3.9047619047619047,21.0,207.0,21.0,3.9047619047619047,18.745047619047618,1
The Old Curiosity Shop,Charles Dickens,1800.0,825,49,1,1,fiction,13119794.0,/works/OL14869167W,4.0,5.0,225.0,5.0,4.0,19.03,1
Anne's House of Dreams,Lucy Maud Montgomery,1917.0,822,21,1,1,fiction,14640440.0,/works/OL77764W,4.235294117647059,17.0,108.0,17.0,4.235294117647059,20.043176470588236,1
The Merchant of Venice,William Shakespeare,1600.0,818,95,1,1,fiction,7182819.0,/works/OL258758W,4.036363636363636,55.0,425.0,55.0,4.036363636363636,19.475454545454546,1
Anne of Avonlea,Lucy Maud Montgomery,1909.0,813,36,1,1,fiction,14638062.0,/works/OL77744W,4.275862068965517,29.0,116.0,29.0,4.275862068965517,20.27744827586207,1
Othello,William Shakespeare,1622.0,807,89,1,1,fiction,7165018.0,/works/OL258850W,3.8095238095238093,42.0,403.0,42.0,3.8095238095238093,18.490095238095236,1
The Tempest,William Shakespeare,1611.0,804,94,1,1,fiction,8155661.0,/works/OL362699W,3.9482758620689653,58.0,414.0,58.0,3.9482758620689653,19.141103448275864,1
The Secret Adversary,Agatha Christie,1922.0,800,44,1,1,fiction,14590159.0,/works/OL471789W,3.787878787878788,33.0,103.0,33.0,3.787878787878788,18.349515151515156,1
πολιτεία,Πλάτων,1554.0,794,86,1,1,fiction,14418448.0,/works/OL51831W,3.7454545454545456,55.0,471.0,55.0,3.7454545454545456,18.311818181818182,1
A Connecticut Yankee in King Arthur's Court,Mark Twain,1889.0,788,55,1,1,fiction,9168732.0,/works/OL54031W,3.7333333333333334,15.0,136.0,15.0,3.7333333333333334,18.023333333333333,0
Der Proceß,Franz Kafka,1825.0,783,67,1,1,fiction,997423.0,/works/OL498463W,4.193548387096774,62.0,200.0,62.0,4.193548387096774,20.146193548387096,1
Anne of the Island,Lucy Maud Montgomery,1915.0,781,19,1,1,fiction,14639028.0,/works/OL77748W,3.875,16.0,110.0,16.0,3.875,18.596,1
Coriolanus,William Shakespeare,1734.0,780,27,1,1,fiction,8222112.0,/works/OL362166W,3.875,8.0,291.0,8.0,3.875,18.548000000000002,1
The Cricket on the Hearth,Charles Dickens,1846.0,774,21,1,1,fiction,9284868.0,/works/OL14868783W,3.0,4.0,179.0,4.0,3.0,15.024000000000001,0
A Portrait of the Artist as a Young Man,"James Joyce, James Joyce, james joyce, J Joyce",1818.0,765,48,1,1,fiction,9328410.0,/works/OL86343W,3.358974358974359,39.0,207.0,39.0,3.358974358974359,16.66989743589744,0
The Mill on the Floss,"George Eliot, Rosalyn Landor, Sue Saunders, Julius Frese",1800.0,763,50,1,1,fiction,8236884.0,/works/OL20938W,4.285714285714286,7.0,225.0,7.0,4.285714285714286,20.18485714285714,1
Richard III,William Shakespeare,1597.0,759,65,1,1,fiction,9020720.0,/works/OL362684W,3.9,10.0,428.0,10.0,3.9,18.66,1
The Valley of Fear,Arthur Conan Doyle,1914.0,758,27,1,1,fiction,8350377.0,/works/OL262505W,4.148148148148148,27.0,111.0,27.0,4.148148148148148,19.754592592592594,1
The Prince and the Pauper,Mark Twain,1881.0,755,56,1,1,fiction,8221267.0,/works/OL53994W,3.8205128205128207,39.0,144.0,39.0,3.8205128205128207,18.516051282051286,1
Leaves of Grass,Walt Whitman,1855.0,755,66,1,1,fiction,9000447.0,/works/OL16333W,3.8333333333333335,12.0,170.0,12.0,3.8333333333333335,18.405333333333335,1
"Henry IV, Part 1",William Shakespeare,1598.0,751,57,1,1,fiction,116833.0,/works/OL1348798W,3.9166666666666665,12.0,427.0,12.0,3.9166666666666665,18.738666666666667,1
The Princess and the Goblin,George MacDonald,1872.0,750,39,1,1,fiction,14363454.0,/works/OL15449W,3.5,6.0,153.0,6.0,3.5,17.036,0
Tess of the d'Urbervilles,Thomas Hardy,1707.0,747,84,1,1,fiction,13109386.0,/works/OL44927W,4.0625,16.0,318.0,16.0,4.0625,19.346,1
The Lost World,Arthur Conan Doyle,1900.0,747,56,1,1,fiction,8231444.0,/works/OL262460W,4.045454545454546,44.0,125.0,44.0,4.045454545454546,19.445818181818183,1
Dracula,Bram Stoker,1897.0,736,66,1,1,fiction,12216503.0,/works/OL85892W,4.043010752688172,186.0,128.0,186.0,4.043010752688172,20.288043010752688,1
Le Comte de Monte Cristo,Alexandre Dumas,1830.0,735,67,1,1,fiction,14566393.0,/works/OL36287W,4.290155440414508,193.0,195.0,193.0,4.290155440414508,21.318621761658033,1
The Marvelous Land of Oz,L. Frank Baum,1904.0,724,43,1,1,fiction,12648656.0,/works/OL18396W,3.3684210526315788,19.0,121.0,19.0,3.3684210526315788,16.587684210526316,0
The Canterbury Tales,"Geoffrey Chaucer, John E. Cunningham, Peter Ackroyd, Ted Stearn, V. A. Kolve, Glending Olson",1478.0,722,94,1,1,fiction,5767180.0,/works/OL531767W,3.28125,32.0,547.0,32.0,3.28125,16.317,0
Brave New World,Aldous Huxley,1932.0,721,76,1,1,fiction,8231823.0,/works/OL64365W,3.9761904761904763,462.0,93.0,462.0,3.9761904761904763,21.676761904761904,1
The Yellow Wallpaper,"Charlotte Perkins Gilman, Aric Cushing, Logan Thomas, SparkNotes, Bryan Hunt, A. J. Alexander, Steven Stern, Aileen Oracion, Twisted Classics, Anne Geer, Sara Barkat, Period Time Publishing, Félix Gerónimo, AGUSTIN LOPEZ TOBAJAS, Nicolae Sfetcu, Erminia Passannanti",1892.0,721,63,1,1,fiction,652029.0,/works/OL2772007W,4.1265822784810124,79.0,133.0,79.0,4.1265822784810124,19.98032911392405,1
The Comedy of Errors,William Shakespeare,1734.0,715,69,1,1,fiction,5561040.0,/works/OL362679W,4.0,6.0,291.0,6.0,4.0,19.036,1
All's Well That Ends Well,William Shakespeare,1734.0,711,35,1,1,fiction,7338455.0,/works/OL362676W,3.75,12.0,291.0,12.0,3.75,18.072000000000003,0
Riders of the Purple Sage,Zane Grey,1912.0,709,43,1,1,fiction,872066.0,/works/OL485504W,4.0,4.0,113.0,4.0,4.0,19.024,1
The Book of Dragons,Edith Nesbit,1973.0,706,12,1,1,fiction,4342323.0,/works/OL99529W,3.7333333333333334,15.0,52.0,15.0,3.7333333333333334,18.023333333333333,0
Decamerone,Giovanni Boccaccio,1516.0,700,89,1,1,fiction,6073528.0,/works/OL7180368W,4.125,16.0,509.0,16.0,4.125,19.596000000000004,1
The House of Mirth,Edith Wharton,1905.0,694,35,1,1,fiction,9329539.0,/works/OL98587W,4.125,16.0,120.0,16.0,4.125,19.596000000000004,1
A Room with a View,E. M. Forster,1905.0,692,38,1,1,fiction,1748132.0,/works/OL88813W,3.75,20.0,120.0,20.0,3.75,18.12,0
Uncle Tom's Cabin,Harriet Beecher Stowe,1850.0,688,75,1,1,fiction,12728198.0,/works/OL152161W,4.05,20.0,175.0,20.0,4.05,19.32,1
Le petit prince,Antoine de Saint-Exupéry,1943.0,688,67,1,1,fiction,10708272.0,/works/OL10263W,4.3628318584070795,226.0,82.0,226.0,4.3628318584070795,21.807327433628316,1
"Twelfth Night, or What You Will",William Shakespeare,1734.0,687,85,1,1,fiction,9119932.0,/works/OL362694W,3.7058823529411766,34.0,291.0,34.0,3.7058823529411766,18.027529411764707,0
The Pilgrim's Progress,John Bunyan,1678.0,683,101,1,1,fiction,8229224.0,/works/OL107195W,4.35,20.0,347.0,20.0,4.35,20.52,1
The Autobiography of Benjamin Franklin,Benjamin Franklin,1791.0,679,105,1,1,fiction,5647361.0,/works/OL26492W,4.0,52.0,234.0,52.0,4.0,19.312,1
The Mayor of Casterbridge,Thomas Hardy,1800.0,676,65,1,1,fiction,1260617.0,/works/OL8193406W,4.8,5.0,225.0,5.0,4.8,22.229999999999997,1
The Jungle,Upton Sinclair,1707.0,673,80,1,1,fiction,8231790.0,/works/OL114967W,4.273684210526316,95.0,318.0,95.0,4.273684210526316,20.664736842105263,1
Rainbow Valley,Lucy Maud Montgomery,1919.0,671,18,1,1,fiction,14641168.0,/works/OL77756W,4.0,4.0,106.0,4.0,4.0,19.024,1
As a man thinketh,James Allen,1902.0,657,23,1,1,fiction,6268048.0,/works/OL43024W,4.675675675675675,37.0,123.0,37.0,4.675675675675675,21.924702702702703,1
The Jewel of Seven Stars,Bram Stoker,1902.0,653,18,1,1,fiction,2760301.0,/works/OL85891W,4.5,6.0,123.0,6.0,4.5,21.036,1
The Story of the Treasure Seekers,Edith Nesbit,1899.0,653,50,1,1,fiction,13241364.0,/works/OL99522W,4.0,3.0,126.0,3.0,4.0,19.018,1
The Woman in White,"Wilkie Collins, William Collins",1859.0,652,65,1,1,fiction,4684227.0,/works/OL176045W,4.05,20.0,166.0,20.0,4.05,19.32,1
Animal Farm,George Orwell,1945.0,650,48,1,1,fiction,11261770.0,/works/OL1168007W,4.150442477876106,565.0,80.0,565.0,4.150442477876106,22.601769911504427,1
Tao te Ching,老子,1842.0,648,68,1,1,fiction,662232.0,/works/OL45499W,4.285714285714286,56.0,183.0,56.0,4.285714285714286,20.478857142857144,1
The Battle of Life,"Charles Dickens, Edward Stirling, Shahid Akram",1846.0,646,9,1,1,fiction,9285597.0,/works/OL14868497W,5.0,2.0,179.0,2.0,5.0,23.011999999999997,1
Sonnets,William Shakespeare,1609.0,646,85,1,1,fiction,8222090.0,/works/OL362706W,4.166666666666667,12.0,416.0,12.0,4.166666666666667,19.73866666666667,1
The Man Who Knew Too Much,Gilbert Keith Chesterton,1922.0,644,10,1,1,fiction,12897858.0,/works/OL76468W,4.0,18.0,103.0,18.0,4.0,19.108,1
Meditations,Marcus Aurelius,1626.0,642,48,1,1,fiction,211529.0,/works/OL1317211W,4.070921985815603,141.0,399.0,141.0,4.070921985815603,20.12968794326241,1
War and Peace,Лев Толстой,1864.0,642,61,1,1,fiction,12621906.0,/works/OL267171W,4.2368421052631575,38.0,161.0,38.0,4.2368421052631575,20.17536842105263,1
The Red Badge of Courage,Stephen Crane,1855.0,639,84,1,1,fiction,8236915.0,/works/OL20844W,3.64,25.0,170.0,25.0,3.64,17.71,0
Du côté de chez Swann,Marcel Proust,1908.0,636,29,1,1,fiction,11967344.0,/works/OL30053009W,3.888888888888889,9.0,117.0,9.0,3.888888888888889,18.609555555555556,1
The Emerald City of Oz,L. Frank Baum,1910.0,634,25,1,1,fiction,1473556.0,/works/OL18409W,3.6666666666666665,6.0,115.0,6.0,3.6666666666666665,17.70266666666667,0
Faust,Johann Wolfgang von Goethe,1800.0,633,34,1,1,fiction,6499459.0,/works/OL52456W,4.0256410256410255,39.0,225.0,39.0,4.0256410256410255,19.336564102564104,1
Silas Marner,"George Eliot, John O'Connor, Mary Anne Evans, Hugh Thomson, Julius Frese",1800.0,628,66,1,1,fiction,9286405.0,/works/OL20874W,3.8,5.0,225.0,5.0,3.8,18.23,1
Herland,"Charlotte Perkins Gilman, Alex Goody, Eva Kumar, Evelynn D. Smith, Chavdar Georgiev, Booking, Aurora Irvine",1915.0,627,29,1,1,fiction,448130.0,/works/OL2771987W,3.8,10.0,110.0,10.0,3.8,18.26,1
The Prisoner of Zenda,"Anthony Hope, Gary Hoppenstand, Diane Mowat, Alan Marks, Francesc Ràfols, Andrew Pugsley, Summer M. Hogan, Summer Hogan, Smidgen Press, Charles Dana Gibson, Daniel Lanza Barba, Javier Fornell Fernandez, Stephen Colbourn, Katy Jackson, James Wilby, Robinson, M.",1800.0,627,52,1,1,fiction,105814.0,/works/OL245401W,3.6,5.0,225.0,5.0,3.6,17.43,0
Dorothy and the Wizard in Oz,L. Frank Baum,1908.0,622,19,1,1,fiction,12648659.0,/works/OL18412W,3.7,10.0,117.0,10.0,3.7,17.860000000000003,0
Agnes Grey,Anne Brontë,1847.0,616,28,1,1,fiction,8242924.0,/works/OL2462427W,4.142857142857143,14.0,178.0,14.0,4.142857142857143,19.655428571428576,1
O Pioneers!,Willa Cather,1913.0,613,63,1,1,fiction,8242999.0,/works/OL12795W,3.8333333333333335,12.0,112.0,12.0,3.8333333333333335,18.405333333333335,1
Ulysses,James Joyce,1914.0,612,109,1,1,fiction,13136548.0,/works/OL86318W,3.375,16.0,111.0,16.0,3.375,16.596000000000004,0
The Second Jungle Book,Rudyard Kipling,1887.0,611,42,1,1,fiction,2140514.0,/works/OL19926W,4.6,5.0,138.0,5.0,4.6,21.43,1
Goldsmith's The vicar of Wakefield,Oliver Goldsmith,1111.0,609,51,1,1,fiction,6720851.0,/works/OL890896W,3.6666666666666665,3.0,914.0,3.0,3.6666666666666665,17.68466666666667,0
Lady Susan,Jane Austen,1925.0,600,22,1,1,fiction,12641526.0,/works/OL66614W,3.1818181818181817,11.0,100.0,11.0,3.1818181818181817,15.793272727272727,0
The mystery of Edwin Drood,"Charles Dickens, Samuel Luke Fildes, Charles Bernard Derosne, TC, John Cuming Walters",1870.0,598,24,1,1,fiction,8243336.0,/works/OL8763148W,5.0,1.0,155.0,1.0,5.0,23.005999999999997,1
The Iron Heel,Jack London,1907.0,597,18,1,1,fiction,8243314.0,/works/OL74502W,3.5,20.0,118.0,20.0,3.5,17.12,0
Jo's Boys,Louisa May Alcott,1886.0,597,40,1,1,fiction,13166184.0,/works/OL26668762W,3.727272727272727,11.0,139.0,11.0,3.727272727272727,17.97509090909091,0
Eight cousins,Louisa May Alcott,1874.0,596,18,1,1,fiction,8143360.0,/works/OL17846238W,3.4285714285714284,7.0,151.0,7.0,3.4285714285714284,16.756285714285713,0
The Lost Princess of Oz,L. Frank Baum,1917.0,591,12,1,1,fiction,854819.0,/works/OL18411W,4.333333333333333,3.0,108.0,3.0,4.333333333333333,20.351333333333336,1
The Scarlet Pimpernel,Emma Orczy,1900.0,591,36,1,1,fiction,479102.0,/works/OL1253285W,4.25,28.0,125.0,28.0,4.25,20.168,1
